"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","Desc"
"CUI.chip0115",-0.00461418443398603,-0.000802702915552492,0,0,0,0,0,0,0.0324901551894143,-0.346264523608046,0,0,0,0,0,0,0,0,0,0,"Unknown Preferred Text"
"PheCode.041_",-0.0168264700767933,-0.0181137556978331,0,0,0,0,0,0,0,0,0,0,0,0,-0.0562188794961914,0,-0.00107082070020864,0,-0.00121743468999514,0,"Bacterial infection NOS"
"PheCode.174_1",-0.0163185549965371,-0.0139133483981285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0562350691884597,0,0,0,"Breast cancer [female]"
"PheCode.198_",-0.0175933643122399,-0.0170828719526602,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00153162164653854,-0.0530597698178635,0,0,0,"Secondary malignant neoplasm"
"PheCode.216_",-0.0102554082533965,-0.00144166083793107,0,0,0,0,-0.117001924591653,0,0,0,0,0,0,0,0,0,0,0,0,0,"Benign neoplasm of skin"
"PheCode.244_4",-0.014626601840199,-0.0141487285283831,0,0,0,0,0,0,0,-0.000688136687909301,0,0,0,-0.071048099363197,0,0,0,0,-0.0259298808562717,0,"Hypothyroidism NOS"
"PheCode.250_2",-0.0154984607271392,-0.0175361174987809,0,0,0,0,0,0,0,0,0,0,0,-0.0361305625520018,-0.0200765192582875,-0.0172492260566832,0,0,-0.090474199600864,0,"Type 2 diabetes"
"PheCode.272_1",-0.00920720293662298,-0.0142968781018609,0,0,0,0,-0.064344693166168,0,0,0,0,0,0.0354660807443867,-0.135915960888852,0,0,0,0,-0.194193635211941,0,"Hyperlipidemia"
"PheCode.276_1",-0.0166203980609851,-0.0177790828524382,0,0,0,0,0,0,0,0,0,0,0,0,-0.0538439946359308,-0.00652464872443252,0,0,-0.0179867613385371,0,"Electrolyte imbalance"
"PheCode.278_1",-0.0149755318814599,-0.0130252485214375,0,0,0,0,0,0,0.00205759031839383,0,0,0,0,-0.00608360685266313,-0.0865849632079577,0,0,0,-0.0132748376793702,0,"Obesity"
"PheCode.279_",-0.0170155250091962,-0.0135847824851381,0,0,0,0,0,0,0,0,0,0,0,0,-0.0389312791553564,0,-0.0259851263951523,0,0,0,"Disorders involving the immune mechanism"
"PheCode.285_",-0.0150607138773753,-0.015087426854912,0,0,0,0,0,0,0,0,0,0,0,-0.0477592797495141,-0.0313706082116458,0,0,0,-0.022452433722468,0,"Other anemias"
"PheCode.290_2",-0.0173208673614189,-0.0177576651453329,0,0,0,0,0,0,0,0,0,0,0,0,-0.0528906744681881,-0.00908530368425254,0,0,-0.010902537637543,0,"Delirium due to conditions classified elsewhere"
"PheCode.291_",-0.0170209287669389,-0.0152086447556145,0,0,0,0,0,0,0,0,0,0,0,0,-0.0181661830902289,0,-0.0196068526499153,0,-0.0117045605679552,0,"Other specified nonpsychotic and/or transient mental disorders"
"PheCode.292_4",-0.0166566192736237,-0.0173927332424207,0,0,0,0,0,0,0,0,0,0,0,0,-0.0631044921076395,-0.0425156357781978,0,0,-0.00238298618682282,0,"Altered mental status"
"PheCode.296_2",-0.00696592641088783,-0.00102578577610755,0,0,0,-0.368927560727228,0,0,-0.0137086668471635,0,-0.0259766484094203,0.0859359362370339,0,0,0,0.0966373752961175,0,0.213082720826838,0,-0.00479619991286691,"Depression"
"PheCode.300_1",-0.0139455210446535,-0.0104418666757953,0,0,0,0,0,0,0.00288314668963804,-0.011035856842821,0,0,0,-0.00443015829620506,-0.0902319088057002,0,0,0,0,0,"Anxiety disorder"
"PheCode.318_",-0.0160179772002228,-0.012150709702541,0,0,0,0,0,0,0,0,0,0,0,-0.00485244147648538,-0.0218585814977242,0,-0.0195623539185567,0,0,0,"Tobacco use disorder"
"PheCode.327_",-0.0151218118103129,-0.0161138009138704,0,0,0,0,0,0,0.00191410061999871,0,0,0,0,-0.0550562221187803,-0.0417088691384288,0,-0.0201097447024435,0,-0.000250637554180458,0,"Sleep disorders"
"PheCode.334_",-0.013570732894533,-0.00314711889228755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0425994245716196,0,0,0,"Degenerative disease of the spinal cord"
"PheCode.335_",0.0716951174812343,0.0853679498063703,-0.116717095396115,0,-0.140233078254223,0,0.108506677604657,7.92928817549897e-05,0,0.0477985654131029,0,0,0.0277760621857331,0,0,0,0,0,0.00565797405885075,0,"Multiple sclerosis"
"PheCode.338_2",-0.0156722445004416,-0.0136304782428729,0,0,0,0,0,0,0,0,0,0,0,-0.011345665834422,-0.110818354286571,0,0,0,0,0,"Chronic pain"
"PheCode.341_",-0.015581416925897,-0.00843013792795089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0425658043329512,0,0,0,"Other demyelinating diseases of central nervous system"
"PheCode.344_",-0.0171484502924161,-0.0159511859486012,0,0,0,0,0,0,0,0,0,0,0,0,-0.0660945727640881,0,0,0,-0.00082723250065262,0,"Other paralytic syndromes"
"PheCode.348_9",-0.0128721489469025,-0.00368688558994411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Other conditions of brain, NOS"
"PheCode.350_1",-0.0153847120632997,-0.0188244523477185,0,0,0,0,0,0,0,0,0,0,0,0,-0.0607031480713635,0,-0.013709213584793,0,0,0,"Abnormal involuntary movements"
"PheCode.368_",-0.0168689402490405,-0.0156835796896332,0,0,0,0,0,0,0,0,0,0,0,0,-0.0111522489720326,0,-0.0368765179082514,0,-0.00740109578914269,0,"Visual disturbances"
"PheCode.377_3",-0.0167357085040576,-0.0142760701429485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0319466931148744,0,0,0,"Optic neuritis/neuropathy"
"PheCode.386_9",-0.0156383339431374,-0.0130338085642701,0,0,0,0,0,0,0,-0.000829429993544898,0,0,0,-0.0520798218067274,0,0,-0.0237189653908813,0,-0.0158208546748542,0,"Dizziness and giddiness (Light-headedness and vertigo)"
"PheCode.401_1",-0.00675790191176932,-0.0101690155364291,0,0,0,0,-0.172448143330915,0,0,0,0,0,0.00535709335949406,0,0,-0.101872286348026,0,0,-0.54439357979692,0.0655774926522533,"Essential hypertension"
"PheCode.411_",-0.0167956759698572,-0.0177839349904742,0,0,0,0,0,0,0,0,0,0,0,-0.00066055901365895,-0.0459835666801521,-0.00547159017845896,-0.0149478880318469,0,-0.0406522345935263,0,"Ischemic Heart Disease"
"PheCode.418_",-0.0124741806942056,-0.00990583298642527,0,0,0,0,0,0,0.0260968736316107,0,0.0740609818947045,0,0,-0.0146796628420177,0,-0.0680467638468675,0,0,-0.0729635058732575,0,"Nonspecific chest pain"
"PheCode.427_5",-0.0149045782150479,-0.0155303644073268,0,0,0,0,0,0,0,0,0.0311643320137493,0,0,-0.012819907073405,-0.0380855619918335,-0.0203089580604204,0,0,-0.0200292585767259,0,"Arrhythmia (cardiac) NOS"
"PheCode.452_",-0.016214592353526,-0.013782733115311,0,0,0,0,0,0,0,0,0,0,0,0,-0.067218362046537,-0.0145842572383238,0,0,-0.0262173784438551,0,"Other venous embolism and thrombosis"
"PheCode.458_",-0.0173005019752155,-0.0175636947223641,0,0,0,0,0,0,0,0,0,0,0,0,-0.0356752784584409,-0.0151820980232726,0,0,-0.0118088946847069,0,"Hypotension"
"PheCode.465_",-0.013896320967358,-0.00835952488774986,0,0,0,0,0,0,0,0,0,0,0,-0.0667839160028769,0,0,-0.0447120312641702,0,0,0,"Acute upper respiratory infections of multiple or unspecified sites"
"PheCode.512_7",-0.0158015799171369,-0.0137898788055902,0,0,0,0,0,0,0,0,0,0,0,-0.0299724721347482,-0.0336178954612756,0,-0.0168326807898601,0,-0.0216646521901305,0,"Shortness of breath"
"PheCode.514_",-0.0167446015726061,-0.0163818954272923,0,0,0,0,0,0,0,0,0,0,0,0,-0.0381991341440647,-0.0128648391248498,-0.0101236704522703,0,-0.0186097254741004,0,"Abnormal findings examination of lungs"
"PheCode.530_1",-0.0137709613429325,-0.014633284264287,0,0,0,0,0,0,0,-0.0238706166556296,0,0,0,-0.130627467014892,0,0,0,0,-0.0368787367526627,0,"Esophagitis, GERD and related diseases"
"PheCode.532_",-0.0164668220430023,-0.0146483762175447,0,0,0,0,0,0,0,0,0,0,0,-0.0132008560684002,-0.0290482712431031,-0.0262031000609809,-0.016623174932458,0,-0.0268233292465892,0,"Dysphagia"
"PheCode.561_",-0.0147965518569597,-0.0136084923958148,0,0,0,0,0,0,0,0,0,0,0,-0.104988408597099,0,0,0,0,0,0,"Symptoms involving digestive system"
"PheCode.564_",-0.0159087725197711,-0.0164788463553122,0,0,0,0,0,0,0,0,0,0,0,0,-0.0610006353429377,0,0,0,0,0,"Functional digestive disorders"
"PheCode.591_",-0.00715788525284951,-0.0196262686393188,0,0,0,-0.0187444766492525,-0.102022900925374,0,0.0234112360648243,0,0.281690230746717,0,-0.00508956135254182,0,0,0,0,0,0,0,"Urinary tract infection"
"PheCode.594_",-0.0165631295833545,-0.0169829611331411,0,0,0,0,0,0,0,0,0,0,0,-0.0156742938793406,-0.047485412766192,-0.0128874365922897,0,0,-0.0051782424400494,0,"Urinary calculus"
"PheCode.596_5",-0.00294718246004361,-0.0234979029600555,0,0,0,-0.0319582541202752,0,0.0268297090965508,0.0328664830092969,0,0.512965652880873,0.181329808965433,-0.0241135584747395,0,0,0.17449011942505,0,0,0,0,"Functional disorders of bladder"
"PheCode.599_4",-0.0129786560710369,-0.0155750007838868,0,0,0,0,0,0,0,0,0.00890347176390388,0,0,-0.0626318302410852,0,0,-0.0131757953435589,0,-0.0254312290723209,0,"Urinary incontinence"
"PheCode.626_",-0.0153016552360945,-0.00626409974834207,0,0,0,0,0,0,0,0,0,0,0,0,-0.0824901386603543,0,0,0,0,0,"Disorders of menstruation and other abnormal bleeding from female genital tract"
"PheCode.681_",-0.015997404990538,-0.0142649729629041,0,0,0,0,0,0,0,0,0,0,0,-0.00802458856616211,-0.0708095587302038,0,0,0,0,0,"Superficial cellulitis and abscess"
"PheCode.687_4",-0.0160357942068332,-0.0120953086802485,0,0,0,0,0,0,0,0,0,0,0,0,-0.039770580519473,0,-0.0229136882788477,0,0,0,"Disturbance of skin sensation"
"PheCode.722_",-0.0142939233537192,-0.0096579658318622,0,0,0,0,0,0,0,0,0,0,0,-0.0403221735989999,-0.0418067692776502,0,0,0,0,0,"Intervertebral disc disorders"
"PheCode.740_",-0.014678602681587,-0.015214399317411,0,0,0,0,0,0,0,0,0,0,0,-0.0716234128978726,0,-0.0136107132754063,0,0,0,0,"Osteoarthrosis"
"PheCode.743_1",-0.0121746871411857,-0.0240862986451813,0,0,0,0,0,0,0,0,0.025162120768546,0,0,-0.155715712193027,0,0,0,0,-0.0151047968902559,0,"Osteoporosis"
"PheCode.745_",-0.0087386732371091,-0.00115946776063852,0,0,0,0,-0.0254323208714842,0,0,0,0,-0.0516920255929052,0,-0.119880319865806,0,-0.061412982618397,0,0,0,0,"Pain in joint"
"PheCode.760_",-0.0118829887000046,-0.00710181738660136,0,0,0,0,0,0,0.0132862459852647,0,0,0,0,-0.15504959308181,0,0,0,0,0,0,"Back pain"
"PheCode.772_2",-0.0157976338893894,-0.0129763379124458,0,0,0,0,0,0,0,0,0.00286431100658001,0,0,0,-0.149872877620465,0,0,0,0,0,"Spasm of muscle"
"PheCode.783_",-0.0152189825358732,-0.0153351830503459,0,0,0,0,0,0,0,0,0.0512567288464824,0,0,0,-0.0289578488167874,-0.0532516906438306,-0.0110240766057906,0,0,0,"Fever of unknown origin"
"PheCode.785_",-0.0124961443374474,-0.00769625794988575,0,0,0,0,0,0,0.0204287921292971,0,0.0303726043426472,0,0,-0.137821551797947,0,0,0,0,0,0,"Abdominal pain"
"PheCode.789_",-0.0163029818720308,-0.0136443755748221,0,0,0,0,0,0,0,0,0,0,0,0,-0.0572589040255199,0,0,0,0,0,"Nausea and vomiting"
"FEMALE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0419152089046558,0,"FEMALE"
"RACE1",0.0027832536873331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"RACE1"
"DISEASE_DURA",0.593553342614738,-0.807574303967568,0,0,-0.00129444036452401,0,0,0,0,0,0,0,0.0921584909596539,0,0,0,0,0,0.0345189916589653,0.0803184696019208,"DISEASE_DURA"
"FOLLOWUP_DURA",0.766107483560174,0.516498928699418,0.3031873736394,0,0.000471964808627763,-0.0558980458464917,-0.101345294140744,0.114680356899184,0,-0.0485040259727319,0,0,-0.167326538138794,-0.171150025186548,-0.0589677700752667,-0.0407744485325089,0,0,0,-0.0754850081152542,"FOLLOWUP_DURA"
